商品erpid,连锁名称,连锁id,通用名称,商品名称,条形码,批准文号,规格,生产厂家,成本价,销售单价_平均值,销售数量_总和,销售金额_总和
100081,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,液体敷料(红花油),液体敷料(红花油),6973267971441,陕杨械备20200005号,20ml,-,0,12.8,310,3519.5
100082,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,鼻贴,通气鼻贴,6958432305887,赣械注准20152140085,10贴,-,0,9.9,607,5081.27
100082,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,通气鼻贴,通气鼻贴,6958432305887,赣械注准20152140085,10贴,-,0,14.08,1481,15600
100083,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,洗发露/护发素,首乌植萃原液滋养发露牌医用退热凝胶/冷敷凝胶,"69,732,679,712,986,900,000,000,000",陕杨械备20200003号,500g/瓶,-,0,58,1,46.4
100083,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,首乌植萃原液滋养发露牌冷敷凝胶,首乌植萃原液滋养发露牌冷敷凝胶,6973267971298,陕杨械备20200003号,500g/瓶,-,0,58,125,6349.92
100083,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,首乌植萃原液滋养发露牌冷敷凝胶,首乌植萃原液滋养发露牌医用退热凝胶/冷敷凝胶,"69,732,679,712,986,900,000,000,000",陕杨械备20200003号,500g/瓶,-,0,58,788,39437.37
100111,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,远红外小儿止咳贴,远红外小儿止咳贴,6970130061728,皖械注准20182260072,5cm*7cm*4贴,-,0,15,4,60
100219,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,一正痛消贴,一正痛消贴,6940394401998,吉四械备20160003号,10贴,-,0,26,2,52
100247,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,肤康冷敷凝胶(敏恙宁),肤康冷敷凝胶(敏恙宁),6970747435226,陕西械备20180241号,20g/支,-,0,38,208,7016.07
100248,贵州省健一生药业连锁有限责任公司,b271e7ee16ad4c65ad0c169c28bad6a6,液体敷料(芦荟胶),液体敷料(芦荟胶),6973267971885,陕杨械备20200005号,20ml,-,0,19.8,3,49.1
